Metabolites,0014_LC_20171106_sample_0015,0014_LC_20171106_sample_0049,0014_LC_20171107_sample_0065,0014_LC_20171111_sample_183,0014_LC_20171111_sample_196,0014_LC_20171106_sample_0045,0014_LC_20171106_sample_0047,0014_LC_20171107_sample_0083,0014_LC_20171107_sample_0089,0014_LC_20171110_sample_139,0014_LC_20171106_sample_0024,0014_LC_20171106_sample_0037,0014_LC_20171110_sample_108,0014_LC_20171111_sample_165,0014_LC_20171112_sample_224,0014_LC_20171106_sample_0012,0014_LC_20171106_sample_0023,0014_LC_20171106_sample_0027,0014_LC_20171110_sample_103,0014_LC_20171110_sample_128,0014_LC_20171107_sample_0099,0014_LC_20171110_sample_109,0014_LC_20171110_sample_135,0014_LC_20171111_sample_158,0014_LC_20171111_sample_166,0014_LC_20171106_sample_0014,0014_LC_20171107_sample_0055,0014_LC_20171110_sample_125,0014_LC_20171111_sample_169,0014_LC_20171111_sample_197,0014_LC_20171106_sample_0048,0014_LC_20171107_sample_0053,0014_LC_20171107_sample_0097,0014_LC_20171111_sample_154,0014_LC_20171111_sample_164,0014_LC_20171107_sample_0056,0014_LC_20171107_sample_0076,0014_LC_20171107_sample_0084,0014_LC_20171110_sample_140,0014_LC_20171111_sample_162
PC(36:5),0.43,0.08,0.13,0.28,0.08,0.11,0.48,0.56,0.38,0.15,0.14,0.42,0.21,0.26,0.07,0.31,0.42,0.38,0.1,0.12,0.43,0.59,0.58,0.96,0.08,0.06,0.31,0.29,0.49,0.19,0.18,0.07,0.45,0.08,0.34,0.2,0.15,1.82,0.07,0.11
PC(37:2),0.07,0.07,0.07,0.08,0.08,0.07,0.1,0.09,0.07,0.08,0.07,0.07,0.07,0.07,0.08,0.08,0.09,0.08,0.08,0.07,0.08,0.08,0.09,0.09,0.08,0.07,0.09,0.09,0.1,0.09,0.07,0.07,0.09,0.07,0.07,0.09,0.08,0.09,0.08,0.07
PC(37:3),0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.07,0.08,0.06,0.08,0.07,0.07,0.07,0.08,0.08,0.07,0.08
PC(37:3),0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.09,0.07,0.09,0.07,0.07,0.08,0.07,0.08,0.08,0.08,0.07,0.09,0.08,0.07,0.1,0.07,0.07,0.07,0.08,0.08,0.09,0.09,0.09,0.06,0.09,0.07,0.07,0.08,0.08,0.09,0.07,0.09
PC(37:3),0.07,0.07,0.07,0.07,0.07,0.07,0.08,0.08,0.08,0.07,0.08,0.07,0.07,0.07,0.07,0.07,0.1,0.09,0.07,0.08,0.07,0.07,0.09,0.07,0.07,0.06,0.08,0.08,0.08,0.08,0.08,0.06,0.08,0.07,0.07,0.08,0.07,0.08,0.07,0.08
PC(37:4),0.07,0.06,0.08,0.07,0.07,0.07,0.08,0.09,0.12,0.07,0.09,0.07,0.07,0.07,0.06,0.08,0.09,0.09,0.07,0.18,0.09,0.08,0.08,0.08,0.07,0.06,0.09,0.09,0.09,0.16,0.12,0.06,0.08,0.07,0.07,0.08,0.07,0.1,0.07,0.1
PC(37:5),0.07,0.06,0.07,0.07,0.06,0.06,0.07,0.07,0.08,0.06,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.08,0.07,0.07,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.07,0.06,0.07,0.07,0.07,0.1,0.06,0.07
PC(37:5),0.07,0.06,0.06,0.06,0.06,0.06,0.07,0.07,0.07,0.06,0.07,0.07,0.06,0.06,0.06,0.07,0.07,0.07,0.06,0.07,0.07,0.07,0.08,0.07,0.06,0.06,0.07,0.07,0.08,0.07,0.06,0.06,0.07,0.06,0.07,0.06,0.06,0.09,0.06,0.07
PC(38:2),0.09,0.08,0.12,0.11,0.1,0.1,0.08,0.2,0.26,0.1,0.07,0.11,0.12,0.12,0.09,0.12,0.17,0.07,0.14,0.22,0.27,0.14,0.17,0.13,0.09,0.07,0.14,0.16,0.18,0.26,0.18,0.08,0.18,0.1,0.11,0.15,0.13,0.16,0.09,0.17
PC(38:2),0.09,0.08,0.12,0.11,0.1,0.1,0.15,0.2,0.26,0.1,0.19,0.11,0.12,0.12,0.09,0.12,0.17,0.15,0.14,0.22,0.26,0.14,0.17,0.13,0.09,0.07,0.14,0.16,0.18,0.26,0.18,0.08,0.18,0.1,0.11,0.15,0.13,0.16,0.09,0.17
